apprentice_id,snapshot_date,quiz_score,attendance_rate,feedback_gap_days,risk_status,promoted_flag
1,2025-01-01,75.4,84.8,6,Green,False
1,2025-01-08,78.1,92.7,18,Amber,False
1,2025-01-15,66.7,86.9,3,Green,False
1,2025-01-22,69.0,93.9,9,Green,False
1,2025-01-29,48.6,60.3,25,Red,True
1,2025-02-05,74.8,92.7,22,Red,True
1,2025-02-12,76.2,87.2,4,Green,False
1,2025-02-19,58.5,64.1,9,Red,False
1,2025-02-26,61.0,68.9,16,Amber,False
1,2025-03-05,67.7,85.7,18,Amber,False
2,2025-01-01,65.3,95.2,8,Green,True
2,2025-01-08,74.2,94.2,16,Amber,False
2,2025-01-15,64.9,58.4,29,Red,False
2,2025-01-22,90.6,84.3,28,Red,False
2,2025-01-29,46.8,44.3,13,Red,False
2,2025-02-05,67.8,78.0,12,Amber,False
2,2025-02-12,79.8,94.6,17,Amber,False
2,2025-02-19,73.7,80.8,29,Red,False
2,2025-02-26,67.2,92.1,9,Green,False
2,2025-03-05,81.2,99.2,1,Green,False
3,2025-01-01,94.3,92.2,13,Green,False
3,2025-01-08,64.9,69.7,18,Amber,False
3,2025-01-15,82.0,86.1,23,Red,False
3,2025-01-22,80.2,100.4,14,Green,False
3,2025-01-29,75.4,91.8,2,Green,False
3,2025-02-05,80.9,95.3,0,Green,False
3,2025-02-12,63.8,66.5,12,Amber,False
3,2025-02-19,73.3,94.6,15,Amber,False
3,2025-02-26,71.3,91.5,20,Amber,False
3,2025-03-05,66.6,86.1,23,Red,False
4,2025-01-01,60.0,80.2,4,Amber,False
4,2025-01-08,77.5,95.5,25,Red,False
4,2025-01-15,43.2,57.6,16,Red,False
4,2025-01-22,80.3,91.6,26,Red,False
4,2025-01-29,96.2,84.4,20,Amber,False
4,2025-02-05,77.3,85.3,15,Amber,False
4,2025-02-12,82.4,90.7,24,Red,False
4,2025-02-19,67.3,91.7,11,Green,False
4,2025-02-26,81.0,86.9,13,Green,False
4,2025-03-05,83.3,90.2,8,Green,False
5,2025-01-01,69.1,95.1,20,Amber,False
5,2025-01-08,87.6,84.6,17,Amber,False
5,2025-01-15,69.6,90.3,7,Green,False
5,2025-01-22,67.2,94.7,24,Red,False
5,2025-01-29,76.6,92.3,19,Amber,False
5,2025-02-05,63.9,76.7,1,Amber,False
5,2025-02-12,72.9,90.0,19,Amber,False
5,2025-02-19,59.2,69.5,21,Amber,False
5,2025-02-26,77.0,97.4,22,Red,False
5,2025-03-05,64.0,57.4,19,Red,False
6,2025-01-01,68.7,88.0,26,Red,False
6,2025-01-08,81.1,88.0,16,Amber,False
6,2025-01-15,84.5,83.1,1,Green,False
6,2025-01-22,72.7,97.6,24,Red,False
6,2025-01-29,53.4,89.6,25,Red,False
6,2025-02-05,77.0,93.9,6,Green,False
6,2025-02-12,81.3,93.9,2,Green,False
6,2025-02-19,80.7,97.6,28,Red,False
6,2025-02-26,85.8,84.5,27,Red,False
6,2025-03-05,59.0,72.2,15,Amber,False
7,2025-01-01,75.4,97.2,25,Red,False
7,2025-01-08,71.9,94.7,21,Amber,False
7,2025-01-15,62.1,83.5,28,Red,False
7,2025-01-22,60.1,82.5,7,Amber,False
7,2025-01-29,57.4,77.8,12,Amber,False
7,2025-02-05,66.3,83.0,11,Green,False
7,2025-02-12,79.4,94.3,15,Amber,False
7,2025-02-19,72.2,87.6,11,Green,False
7,2025-02-26,51.8,58.4,29,Red,False
7,2025-03-05,63.4,81.8,5,Amber,False
8,2025-01-01,91.9,92.7,2,Green,False
8,2025-01-08,55.8,83.8,12,Amber,False
8,2025-01-15,68.5,96.5,13,Green,False
8,2025-01-22,74.6,83.2,21,Amber,False
8,2025-01-29,68.4,96.5,22,Red,False
8,2025-02-05,60.5,86.5,27,Red,False
8,2025-02-12,68.1,82.6,21,Amber,False
8,2025-02-19,73.5,82.2,23,Red,False
8,2025-02-26,73.7,92.4,24,Red,False
8,2025-03-05,76.7,88.5,7,Green,False
9,2025-01-01,63.3,77.2,7,Amber,False
9,2025-01-08,74.7,82.3,5,Green,False
9,2025-01-15,81.6,85.9,28,Red,False
9,2025-01-22,59.8,73.0,19,Amber,False
9,2025-01-29,68.1,89.8,27,Red,False
9,2025-02-05,58.0,80.5,5,Amber,False
9,2025-02-12,59.7,83.9,22,Red,False
9,2025-02-19,73.9,95.5,2,Green,False
9,2025-02-26,68.7,93.3,28,Red,False
9,2025-03-05,86.3,98.8,28,Red,False
10,2025-01-01,83.5,94.0,1,Green,False
10,2025-01-08,61.8,87.3,19,Amber,False
10,2025-01-15,80.5,91.0,10,Green,False
10,2025-01-22,67.9,92.8,4,Green,False
10,2025-01-29,64.9,92.8,20,Amber,False
10,2025-02-05,76.3,94.4,24,Red,False
10,2025-02-12,76.5,90.0,28,Red,False
10,2025-02-19,81.9,95.9,17,Amber,False
10,2025-02-26,64.8,76.2,26,Red,False
10,2025-03-05,80.1,96.7,9,Green,False
11,2025-01-01,86.1,91.8,6,Green,False
11,2025-01-08,57.9,78.0,11,Amber,False
11,2025-01-15,70.9,87.3,16,Amber,False
11,2025-01-22,66.6,91.7,19,Amber,False
11,2025-01-29,68.2,83.7,7,Green,False
11,2025-02-05,60.2,99.5,29,Red,False
11,2025-02-12,72.1,94.8,16,Amber,False
11,2025-02-19,73.9,89.0,25,Red,False
11,2025-02-26,65.8,91.2,10,Green,False
11,2025-03-05,61.9,73.8,19,Amber,True
12,2025-01-01,58.7,80.0,12,Amber,False
12,2025-01-08,82.1,87.5,8,Green,False
12,2025-01-15,72.5,94.1,22,Red,False
12,2025-01-22,75.8,90.8,20,Amber,False
12,2025-01-29,68.2,87.6,6,Green,False
12,2025-02-05,49.8,42.5,16,Red,False
12,2025-02-12,67.9,86.3,17,Amber,False
12,2025-02-19,58.1,72.6,26,Red,False
12,2025-02-26,52.7,73.2,9,Amber,False
12,2025-03-05,68.9,86.1,19,Amber,False
13,2025-01-01,69.4,92.4,23,Red,False
13,2025-01-08,65.9,87.6,7,Green,False
13,2025-01-15,65.5,95.5,3,Green,False
13,2025-01-22,65.4,90.9,4,Green,False
13,2025-01-29,78.5,97.5,29,Red,False
13,2025-02-05,72.4,84.7,7,Green,False
13,2025-02-12,59.2,66.0,11,Amber,False
13,2025-02-19,69.0,81.1,16,Amber,False
13,2025-02-26,73.1,89.8,9,Green,False
13,2025-03-05,58.1,56.4,12,Red,False
14,2025-01-01,76.3,79.8,11,Amber,False
14,2025-01-08,74.8,91.8,14,Green,False
14,2025-01-15,85.2,91.8,7,Green,False
14,2025-01-22,58.2,71.0,17,Amber,False
14,2025-01-29,91.1,88.0,11,Green,False
14,2025-02-05,82.5,89.7,6,Green,False
14,2025-02-12,72.1,88.7,15,Amber,False
14,2025-02-19,64.7,59.3,24,Red,False
14,2025-02-26,79.3,90.2,12,Green,False
14,2025-03-05,89.0,98.1,25,Red,False
15,2025-01-01,67.4,95.0,27,Red,False
15,2025-01-08,49.0,63.6,26,Red,False
15,2025-01-15,72.2,84.5,27,Red,False
15,2025-01-22,72.3,88.9,2,Green,False
15,2025-01-29,74.4,87.8,21,Amber,False
15,2025-02-05,83.8,99.4,22,Red,False
15,2025-02-12,59.0,76.8,13,Amber,False
15,2025-02-19,67.0,93.7,26,Red,False
15,2025-02-26,74.0,92.3,29,Red,False
15,2025-03-05,71.4,81.7,19,Amber,False
16,2025-01-01,61.6,67.9,12,Amber,False
16,2025-01-08,83.5,98.3,16,Amber,False
16,2025-01-15,83.5,93.4,21,Amber,False
16,2025-01-22,73.9,81.7,12,Green,False
16,2025-01-29,69.7,85.5,17,Amber,False
16,2025-02-05,77.0,90.9,14,Green,False
16,2025-02-12,69.3,94.4,16,Amber,False
16,2025-02-19,77.4,95.0,22,Red,False
16,2025-02-26,42.5,50.0,16,Red,False
16,2025-03-05,73.6,90.8,17,Amber,False
17,2025-01-01,81.7,88.2,12,Green,False
17,2025-01-08,81.3,93.8,15,Amber,False
17,2025-01-15,71.4,79.3,19,Amber,False
17,2025-01-22,66.2,100.1,11,Green,False
17,2025-01-29,63.5,75.0,19,Amber,False
17,2025-02-05,77.2,87.7,8,Green,False
17,2025-02-12,67.1,91.4,2,Green,False
17,2025-02-19,62.2,80.5,14,Amber,False
17,2025-02-26,85.3,89.0,24,Red,False
17,2025-03-05,54.8,81.0,29,Red,False
18,2025-01-01,78.8,97.8,9,Green,False
18,2025-01-08,84.3,86.9,10,Green,False
18,2025-01-15,58.4,79.8,25,Red,False
18,2025-01-22,76.9,99.2,22,Red,False
18,2025-01-29,68.0,93.2,5,Green,False
18,2025-02-05,85.3,90.7,2,Green,False
18,2025-02-12,53.3,69.7,20,Amber,False
18,2025-02-19,70.9,91.3,18,Amber,False
18,2025-02-26,82.1,98.5,5,Green,False
18,2025-03-05,58.3,84.2,1,Amber,False
19,2025-01-01,83.8,98.3,19,Amber,False
19,2025-01-08,61.1,82.6,10,Amber,False
19,2025-01-15,64.4,58.8,25,Red,False
19,2025-01-22,79.9,95.2,22,Red,False
19,2025-01-29,83.9,88.5,27,Red,False
19,2025-02-05,64.0,73.2,26,Red,False
19,2025-02-12,70.2,91.1,11,Green,False
19,2025-02-19,65.3,84.2,3,Green,True
19,2025-02-26,65.2,87.8,14,Green,False
19,2025-03-05,73.2,84.3,23,Red,False
20,2025-01-01,63.6,59.0,1,Red,False
20,2025-01-08,56.9,81.8,18,Amber,False
20,2025-01-15,60.5,89.0,1,Amber,False
20,2025-01-22,66.2,94.8,11,Green,True
20,2025-01-29,67.3,93.0,22,Red,False
20,2025-02-05,68.6,85.3,1,Green,False
20,2025-02-12,64.7,66.5,24,Red,False
20,2025-02-19,72.3,91.3,20,Amber,False
